title,genres
Across the Wide Missouri (1951),Adventure|Romance|Western
Across to Singapore (1928),Drama|Romance
Act Da Fool (2010),(no genres listed)
"Act in Question, The (Acto en cuestión, El) (1993)",Drama
Act of Aggression (1975),Crime|Drama
"Act of Killing, The (2012)",Documentary
"Act of Seeing with One's Own Eyes, The (1971) ",Documentary
Act of Valor (2012),Action|Thriller|War
Act of Violence (1948),Drama|Film-Noir|Thriller
Action in the North Atlantic (1943),Action|War
Action Jackson (1988),Action|Comedy|Crime|Thriller
Action Jackson (2014),Action|Drama|Romance
"Actor's Revenge, An (Yukinojô henge) (1963)",Drama
"Actress, The (1953)",Comedy|Drama
"Actress, the Dollars and the Transylvanians, The (Artista, dolarii si Ardelenii) (1979)",Western
Actresses (Actrices) (2007),Comedy|Drama
Acts of Worship (2001) ,Drama
Adam & Paul (2004),Comedy|Drama
Adam & Steve (2005),Comedy|Romance
Adam (2009),Drama|Romance
Adam and Dog (2012),Animation
Adam and Eve (Adão e Eva) (1995),Drama
Adam Had Four Sons (1941),Drama|Romance
Adam Resurrected (2008),Drama|War
Adam's Apples (Adams æbler) (2005),Comedy|Drama
Adam's Rib (1949),Comedy|Romance
Adanggaman (2000),Drama
Adaptation (2002),Comedy|Drama|Romance
Addams Family Reunion (1998),Children|Comedy|Fantasy
Addams Family Values (1993),Children|Comedy|Fantasy
"Addams Family, The (1991)",Children|Comedy|Fantasy
Addicted (2013),Drama
Addicted to Love (1997),Comedy|Romance
Addicted to Plastic (2008),Documentary
"Addiction, The (1995)",Drama|Horror
Address Unknown (Suchwiin bulmyeong) (2001),Drama|War
Adelheid (1970),Drama
Adios Carmen (2013),Drama
Adios Sabata (1970),Action|War|Western
Adjust Your Tracking (2013),Documentary
"Adjuster, The (1991)",Drama
"Adjustment Bureau, The (2011)",Romance|Sci-Fi|Thriller
Admiral (2008),Drama|War
Admiral Yamamoto (1968),Drama|War
Admission (2013),Comedy|Romance
Admissions (2004),Drama
"Adonis Factor, The (2010)",Documentary
Adopted (2009),Comedy
Adoration (2008),Drama
Adore (2013),Drama|Romance
Adrenalin: Fear the Rush (1996),Action|Sci-Fi
Adrenaline Drive (Adorenarin doraibu) (1999),Comedy
Adrift (À Deriva) (2009),Drama
Adrift (Choi Voi) (2009),Drama
Adrift in Tokyo (Tenten) (2007),Comedy|Drama
Adult Camp (2015),Comedy
Adult World (2013),Comedy
Adulthood (2008),Drama
Advance to the Rear (1964),Comedy|War|Western
Advanced Style (2014),Comedy|Documentary|Drama
Advantageous (2015),Children|Drama|Sci-Fi
Adventure in Baltimore (1949),Comedy|Drama
"Adventure in Space and Time, An (2013)",Drama
"Adventure of Sherlock Holmes' Smarter Brother, The (1975)",Comedy|Crime|Mystery
Adventureland (2009),Comedy|Drama
"Adventurer, The (1917)",Comedy
"Adventurer: The Curse of the Midas Box, The (2013)",Adventure|Fantasy
Adventures in Babysitting (1987),Adventure|Comedy
Adventures in Zambezia (2012),Adventure|Animation|Children|Comedy
Adventures of a Dentist (1965),Comedy
"Adventures of Arsène Lupin, The (Aventures d'Arsène Lupin, Les) (1957)",Crime|Mystery
"Adventures of Baron Munchausen, The (1988)",Adventure|Comedy|Fantasy
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",Adventure|Comedy|Sci-Fi
Adventures of Captain Marvel (1941),Action|Adventure|Fantasy|Mystery|Sci-Fi
Adventures of Don Juan (1948),Adventure|Romance
"Adventures of Elmo in Grouchland, The (1999)",Children|Comedy
"Adventures of Felix, The (a.k.a. Funny Felix) (Drôle de Félix) (2000)",Comedy|Drama
"Adventures of Food Boy, The (aka High School Superhero) (2008)",Comedy
"Adventures of Ford Fairlane, The (1990)",Action|Comedy
"Adventures of Hajji Baba, The (1954)",Action|Adventure|Romance
"Adventures of Huck Finn, The (1993)",Adventure|Children|Comedy|Drama
"Adventures of Huckleberry Finn, The (1939)",Adventure|Drama
"Adventures of Huckleberry Finn, The (1960)",Adventure|Children
"Adventures of Ichabod and Mr. Toad, The (1949)",Animation|Children
Adventures of Kitty O'Day (Kitty O'Day Comes Through) (1945),Comedy|Crime|Mystery|Romance
"Adventures of Mark Twain, The (1944)",Adventure|Drama
"Adventures of Mark Twain, The (1986)",Adventure|Animation|Children
"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)",Children|Musical|Mystery
"Adventures of Mary-Kate and Ashley, The: The Case of the United States Navy Adventure (1997)",Children|Musical|Mystery
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",Adventure|Children|Comedy|Drama
"Adventures of Picasso, The (Picassos äventyr) (1978)",Comedy
"Adventures of Pinocchio, The (1996)",Adventure|Children
"Adventures of Pluto Nash, The (2002)",Action|Adventure|Comedy|Sci-Fi
Adventures of Power (2008),Comedy|Musical
"Adventures of Prince Achmed, The (Abenteuer des Prinzen Achmed, Die) (1926)",Adventure|Animation|Fantasy|Romance
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance
"Adventures of Rocky and Bullwinkle, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
"Adventures of Sebastian Cole, The (1998)",Comedy|Drama
"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",Action|Adventure|Children|Fantasy
"Adventures of Sherlock Holmes, The (1939)",Crime|Mystery|Thriller
Adventures of Tarzan (1921),Action|Adventure
"Adventures of the Wilderness Family, The (1975)",Adventure|Children|Drama
"Adventures of Tintin, The (2011)",Action|Animation|Mystery|IMAX
"Adventures of Tom Sawyer, The (1938)",Adventure
Adventures of Zatoichi (Zatôichi sekisho yaburi) (Zatôichi 9) (1964),Action|Drama
"Adversary, The (L'adversaire) (2002)",Crime|Drama|Mystery|Thriller
Advertising and the End of the World (1998),Documentary
Advise and Consent (1962),Drama
Aelita: The Queen of Mars (Aelita) (1924),Action|Adventure|Drama|Fantasy|Romance|Sci-Fi|Thriller
Aeon Flux (2005),Action|Sci-Fi
Aerial Gunner (1943),Drama|War
"Aerial, The (La antena) (2007)",Adventure|Fantasy|Film-Noir|Mystery|Sci-Fi
Affair in Trinidad (1952),Drama|Film-Noir|Musical|Thriller
"Affair of Love, An (Liaison pornographique, Une) (1999)",Drama|Romance
"Affair of the Heart, An (2012)",Documentary
"Affair of the Necklace, The (2001)",Drama
"Affair to Remember, An (1957)",Drama|Romance
"Affairs of Anatol, The (1921)",Comedy|Drama
Affinity (2008),Drama|Romance
Afflicted (2013),Horror|Sci-Fi|Thriller
"Afflicted, The (2010)",Horror|Thriller
Affliction (1997),Drama
Affluenza (2014),Drama
Afghan Luke (2011),Drama
Afghan Star (2009),Documentary
Africa addio (1966),Documentary
Africa Screams (1949),Adventure|Comedy
Africa: Texas Style (1967),Adventure|Western
Africa: The Serengeti (1994),Documentary|IMAX
African Cats (2011),Adventure|Documentary
"African Queen, The (1951)",Adventure|Comedy|Romance|War
Afro Samurai: Resurrection (2009),Animation
Afstiros katallilo (2008),Comedy
After Alice (Eye of the Killer) (2000),Crime|Drama|Mystery|Thriller
"After Dark, My Sweet (1990)",Crime|Drama|Mystery
After Death (Posle smerti) (1915),Drama
After Earth (2013),Action|Adventure|Sci-Fi|IMAX
"After Fall, Winter (2011)",Drama
After Five in the Jungle (Nach Fünf im Urwald) (1995),Comedy|Romance
After Hours (1985),Comedy|Thriller
After Image (Seeing in the Dark) (2001),Drama|Thriller
After Innocence (2005),Crime|Documentary
After Last Season (2009),Drama|Thriller
After Life (Wandafuru raifu) (1998),Drama|Fantasy
After Midnight (1989),Horror|Thriller
After Office Hours (1935),Comedy|Crime|Drama
After Porn Ends (2010),Documentary
After School Midnighters (Hôkago middonaitâzu) (2012),Action|Animation|Children|Comedy|Fantasy
After School Special (a.k.a. Barely Legal) (2003),Comedy
After Sex (2007),Drama|Romance
After the Fox (Caccia alla volpe) (1966),Comedy|Crime
After the Life (2002),Crime|Drama
After the Rain (Ame agaru) (1999) ,Action|Drama
After the Reconciliation (Après la réconciliation) (2000),Drama
After the Rehearsal (Efter repetitionen) (1984),Drama
After the Sunset (2004),Action|Adventure|Comedy|Crime|Thriller
After the Thin Man (1936),Comedy|Crime|Mystery|Romance
After the Wedding (Efter brylluppet) (2006),Drama
After Tiller (2013),Documentary
After You (Après vous...) (2003),Comedy|Romance
After... (2006),Horror|Thriller
After.Life (2009),Drama|Horror|Thriller
Afterburn (1992),Drama
Afterglow (1997),Drama|Romance
Aftermath (1994),Horror
Aftermath (2012),Action|Thriller
Aftermath: Population Zero (2008),Documentary|Sci-Fi
Afternoon Delight (2013),Comedy|Drama
"Afternoon of a Torturer, The (Dupa-amiaza unui tortionar) (2001)",Drama
Afterschool (2008),Drama
Aftershock (2012),Horror|Thriller
Aftershock (Tangshan dadizhen) (2010),Drama|IMAX
Afterwards (2008),Mystery
Against All Flags (1952),Action|Adventure|Drama|Romance
Against All Odds (1984),Romance
"Against One Another, Virtually Friends (1981)",Comedy
Against the Current (2009),Drama
Against the Dark (2009),Action|Horror
Against the Ropes (2004),Comedy|Drama
Against The Sun (2015),Adventure
Agata and the Storm (Agata e la tempesta) (2004),Comedy|Drama|Romance
Agatha (1979),Drama|Mystery
Agatha Christie's 'Ten Little Indians' (Ten Little Indians) (And Then There Were None) (1965),Mystery
Age of Consent (1969),Comedy|Drama|Romance
Age of Dinosaurs (2013),Action|Sci-Fi
Age of Heroes (2011),Action|Adventure|Drama|Thriller|War
Age of Ice (2014),Adventure|Sci-Fi
"Age of Ignorance, The (a.k.a. Days of Darkness) (L'âge des ténèbres) (2007)",Comedy|Drama|Fantasy
"Age of Innocence, The (1934)",Drama|Romance
"Age of Innocence, The (1993)",Drama
"Age of Stupid, The (2009)",Documentary
Age of the Dragons (2011),Action|Adventure|Fantasy
"Age of the Earth, The (A Idade da Terra) (1980)",(no genres listed)
"Age of the Medici, The (L'età di Cosimo de Medici) (1973) ",Drama
Age of Tomorrow (2014),Action|Sci-Fi|Thriller
Age of Uprising: The Legend of Michael Kohlhaas (Michael Kohlhaas) (2013),Drama
Agenda: Grinding America Down (2010),Documentary
Agent Cody Banks (2003),Action|Adventure|Children|Fantasy
Agent Cody Banks 2: Destination London (2004),Action|Adventure|Children|Comedy
Agent Red (2000),Action
Agent Vinod (2012),Action
Aglaya (2012),Drama
Agnes Browne (1999),Comedy|Drama
Agnes of God (1985),Drama|Mystery
Agnosia (2010),Drama|Thriller
Agony (a.k.a. Rasputin) (Agoniya) (1981),Drama
"Agony and the Ecstasy of Phil Spector, The (2009)",Documentary
"Agony and the Ecstasy, The (1965)",Drama
Agora (2009),Adventure|Drama|Romance
"Agronomist, The (2003)",Documentary
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",Adventure|Drama
"Ah of Life, The (2010)",Drama|Romance|Sci-Fi
"Ah, Wilderness! (1935)",Comedy|Drama
A-Haunting We Will Go (1942),Comedy
Ai Weiwei: Never Sorry (2012),Documentary
Aileen Wuornos: The Selling of a Serial Killer (1993),Documentary
Aileen: Life and Death of a Serial Killer (2003),Documentary
Aimée & Jaguar (1999),Drama|Romance|War
Ainoat Oikeat (2013),Comedy
Ain't in It for My Health: A Film About Levon Helm (2013),Documentary
Ain't Them Bodies Saints (2013),Drama
Air America (1990),Action|Comedy
Air Bud (1997),Children|Comedy
Air Bud: Golden Receiver (1998),Children|Comedy
Air Crew (1979),Action|Drama|Thriller
Air Doll (Kûki ningyô) (2009),Drama
Air Force (1943),Action|Drama|War
Air Force One (1997),Action|Thriller
Air Guitar Nation (2006),Comedy|Documentary|Musical
Air Hawks (1935),Action|Drama|Mystery|Romance|Sci-Fi
"Air I Breathe, The (2007)",Crime|Drama|Romance|Thriller
Air Raid Wardens (1943),Children|Comedy
"Air Up There, The (1994)",Comedy
Airbag (1997),Action|Comedy|Crime|Thriller
Airborne (1993),Adventure|Comedy
Airheads (1994),Comedy
Airplane II: The Sequel (1982),Comedy
Airplane! (1980),Comedy
Airport (1970),Drama
Airport 1975 (1974),Action|Drama|Thriller
Airport '77 (1977),Drama
Airspeed (1999),Action|Adventure|Drama|Thriller
Ajami (2009),Crime|Drama
AKA (2002),Drama
Akeelah and the Bee (2006),Drama
Akira (1988),Action|Adventure|Animation|Sci-Fi
Akira Kurosawa's Dreams (Dreams) (1990),Drama|Fantasy
Aks (2001),Thriller
Al Capone (1959),Crime|Drama
Al Franken: God Spoke (2006),Documentary
Al otro lado (2004),Drama
Alabama Moon (2009),Adventure|Children|Drama
Alabama's Ghost (1973),Horror
Aladdin (1986),Adventure|Fantasy
Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
Aladdin (1992),Adventure|Animation|Children|Comedy|Fantasy
Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance
Aladin (2009),Comedy|Fantasy|Musical|Romance
Alamo Bay (1985),Action|Drama|Romance
"Alamo, The (1960)",Action|Drama|War|Western
"Alamo, The (2004)",Drama|War|Western
Alan & Naomi (1992),Children|Drama
Alan Partridge: Alpha Papa (2013),Comedy
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",Comedy
"Alarmist, The (a.k.a. Life During Wartime) (1997)",Comedy
Alaska (1996),Adventure|Children
Alaska: Silence & Solitude (2005),Documentary
Alaska: Spirit of the Wild (1997),Documentary|IMAX
alaskaLand (2013),Drama
Alatriste (2006),Action|Adventure|Romance|War
Albatross (2011),Drama
Albert Nobbs (2011),Drama
Albino Alligator (1996),Crime|Thriller
Albino Farm (2009),Horror
Albuquerque (1948),Romance|Western
Alcan Highway (Alaska Highway) (2013),Documentary
Alcina (2000),Drama|Fantasy|Romance
Alex and Emma (2003),Comedy|Drama|Romance
Alex Cross (2012),Action|Crime|Mystery|Thriller
Alex in Wonderland (1970),Comedy|Drama
Alexander (2004),Action|Adventure|Drama|War
"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)",Comedy
Alexander Nevsky (Aleksandr Nevskiy) (1938),Action|Drama|War
Alexander the Great (1956),Drama
Alexander's Ragtime Band (1938),Drama|Musical
Alexandra (Aleksandra) (2007),Drama|War
Alexandra's Project (2003),Drama|Thriller
Alexandria... Why? (Iskanderija... lih?) (1979),Drama
Alfie (1966),Comedy|Drama|Romance
Alfie (2004),Comedy|Drama|Romance
Algiers (1938),Drama|Romance
Ali (2001),Drama
Ali Baba Goes to Town (1937),Comedy|Fantasy|Musical
Ali G Indahouse (2002),Comedy
"Ali Zoua: Prince of the Streets (Ali Zaoua, prince de la rue) (2000)",Crime|Drama
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),Drama|Romance
Alias Betty (Betty Fisher et autres histoires) (2001),Crime|Drama
Alias the Doctor (1932),Drama
Alibi (1929),Crime|Drama
"Alibi, The (Lies and Alibis) (2006)",Comedy|Drama|Romance
Alice (1990),Comedy|Drama|Fantasy|Romance
Alice (2005),Drama
Alice (2009),Action|Adventure|Fantasy
Alice (Neco z Alenky) (1988),Animation|Fantasy|Mystery
Alice Adams (1935),Comedy|Drama
Alice and Martin (Alice et Martin) (1998),Drama
Alice Doesn't Live Here Anymore (1974),Drama|Romance
Alice in Murderland (2010),Horror|Thriller
Alice in the Cities (Alice in den Stadten) (1974),Drama
Alice in Wonderland (1933),Adventure|Children|Fantasy
Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
Alice in Wonderland (1966),Children|Fantasy|Sci-Fi
Alice in Wonderland (1985),Adventure|Children|Fantasy
Alice in Wonderland (1999),Adventure|Comedy|Fantasy
Alice in Wonderland (2010),Adventure|Fantasy|IMAX
Alice Upside Down (Alice) (2007),Adventure|Children|Comedy|Drama
"Alice, Sweet Alice (a.k.a. Communion) (a.k.a. Holy Terror) (1976)",Horror|Mystery
Alice's Adventures in Wonderland (1972),Adventure|Children|Fantasy|Musical
Alice's Restaurant (1969),Comedy|Drama
Alien (1979),Horror|Sci-Fi
Alien Abduction (2014),Horror|Mystery|Sci-Fi
Alien Autopsy (2006),Comedy|Sci-Fi
Alien Cargo (1999),Sci-Fi
Alien Contamination (1980),Action|Horror|Sci-Fi
Alien Escape (1995),Horror|Sci-Fi
Alien from L.A. (1988),Sci-Fi
Alien Hunter (2003),Action|Sci-Fi|Thriller
Alien Nation (1988),Crime|Drama|Sci-Fi|Thriller
Alien Nation: Body and Soul (1995),Sci-Fi
Alien Nation: Dark Horizon (1994),Drama|Sci-Fi
Alien Nation: Millennium (1996),Sci-Fi
Alien Nation: The Enemy Within (1996),Sci-Fi
Alien Nation: The Udara Legacy (1997),Sci-Fi
Alien Outpost (2014),Action|Sci-Fi|Thriller
"Alien Predator (Mutant II) (Falling, The) (1985)",Drama|Horror|Sci-Fi
Alien Raiders (2008),Mystery|Sci-Fi|Thriller
Alien Space Avenger (1989),Comedy|Horror|Sci-Fi
Alien Trespass (2009),Comedy|Sci-Fi
Alien: Resurrection (1997),Action|Horror|Sci-Fi
Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller
Aliens (1986),Action|Adventure|Horror|Sci-Fi
Aliens in the Attic (2009),Adventure|Children|Fantasy|Sci-Fi
Aliens of the Deep (2005),Documentary|IMAX
Aliisa (1970),Drama
Alila (2003),Drama
Alive (1993),Drama
Alive (2002),Action|Drama|Horror|Sci-Fi|Thriller
Alive and Ticking (Ein Tick anders) (2011),Comedy|Drama
Alive Day Memories: Home from Iraq (Occupation Iraq) (2007),Documentary
Alive Inside (2014),Documentary
Aliyah (Alyah) (2012) ,Drama
All About Actresses (Le bal des actrices) (2009),Comedy|Drama
All About Anna (2005),Comedy|Drama|Romance
All About Eve (1950),Drama
All About Lily Chou-Chou (Riri Shushu no subete) (2001),Crime|Drama|Thriller
All About Lola (Ce que je sais de Lola) (Lo que sé de Lola) (2006),Romance
All About My Mother (Todo sobre mi madre) (1999),Drama
All About Steve (2009),Comedy
All About the Benjamins (2002),Action|Comedy|Crime
All About the Feathers (Por Las Plumas) (2013),Comedy
All Access (2001),Documentary|Musical|IMAX
All American Chump (1936),Comedy
All American Orgy (Cummings Farm) (2009),Comedy
All at Sea (1957),Comedy
"All Blossoms Again: Pedro Costa, Director (Tout refleurit: Pedro Costa, cinéaste) (2006)",Documentary
All Cheerleaders Die (2013),Comedy|Horror|Thriller
"All Dogs Christmas Carol, An (1998)",Animation|Children|Comedy|Musical
All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy
All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
All Fall Down (1962),Drama
All for the Winner (Dou sing) (1990),Action|Comedy
All Good Things (2010),Drama|Mystery|Thriller
All I Desire (1953),Drama|Romance
All I Want (Try Seventeen) (2002),Comedy|Drama|Romance
All I Want for Christmas (1991),Children|Comedy
All in a Night's Work (1961),Comedy
All In This Tea (2007),Documentary
All In: The Poker Movie (2009),Documentary
All is Bright (2013),Comedy|Drama
All Is Forgiven (Tout est pardonné) (2007),Drama
All Is Lost (2013),Action|Adventure|Drama
All Mine to Give (1957),Drama|Romance
All Night Long (1962),Drama
All Night Long (1981),Comedy|Drama
All of Me (1984),Comedy|Fantasy
All of Me (2013),Documentary
All or Nothing (2002),Drama
All Over Me (1997),Drama
All Over the Guy (2001),Comedy
All Passion Spent (1986),Drama
All Quiet on the Western Front (1930),Action|Drama|War
All Quiet on the Western Front (1979),Action|Drama|War
